Unnamed: 0,Prompt,Metrics,Original Prompt,Qualified (Y/N),Modified Prompt (If not qualified),data source type
10,"Write a piece of neural network prediction code that establishes a relationship between inputs and outputs, and saves this mapping relationship to a pkl model. Utilize the input dataset from ""input_data.csv,"" which contains 500 rows and 12 columns (each row represents a set of inputs). The known outputs are in ""output_data.csv,"" a matrix with 7 rows and 500 columns. Ensure the data dimensions are automatically corresponded.

1. **Subtask 1: Data Preprocessing**
   - **Input:** ""input_data.csv"" and ""output_data.csv""
   - **Output:** Preprocessed training dataset in ""preprocessed_data.csv"" (format: csv)

2. **Subtask 2: Model Training**
   - **Input:** ""preprocessed_data.csv""
   - **Output:** Trained neural network model saved as ""model.pkl"" (format: pkl)

3. **Subtask 3: Evaluation**
   - **Input:** ""model.pkl"" and ""output_data.csv""
   - **Output:** Model evaluation results in ""evaluation_results.csv"" (format: csv)

Ensure each output file allows for further evaluation of the task completion quality.",consistency,"Write a piece of neural network prediction code: to establish a relationship between inputs and outputs, and save this mapping relationship to a pkl model. The known input dataset has 500 rows and 12 columns, where each row represents a set of inputs, making a total of five hundred input sets. The known output is a matrix with 7 rows and 500 columns. Please help me automatically correspond the data dimensions. The inputs and outputs are in files input_data.csv and output_data.csv",N,"Write a piece of neural network prediction code that establishes a relationship between inputs and outputs, and saves this mapping relationship to a pkl model. Utilize the input dataset from ""input_data.csv,"" which contains 500 rows and 12 columns (each row represents a set of inputs). The known outputs are in ""output_data.csv,"" a matrix with 7 rows and 500 columns. Ensure the data dimensions are automatically corresponded.

Use the data to train the model and save the parameters in ""model.pkl"" and output model evaluation results in ""evaluation_results.csv"".",3=human written data
11,"Write a piece of SVR prediction code that performs the following subtasks:

1. **Load Input Data**: 
   - **Input**: `12_Input.csv` (500 rows by 12 columns)
   - **Output**: `input_data_summary.csv` (summary of input data, including basic statistics like mean, median, and standard deviation)

2. **Load Output Data**: 
   - **Input**: `a_full.csv` (500 rows by 500 columns)
   - **Output**: `output_data_summary.csv` (summary of output data, including basic statistics like mean, median, and standard deviation)

3. **Build SVR Model**:
   - **Input**: `12_Input.csv` and `a_full.csv`
   - **Output**: `svr_model.pkl` (saved SVR model used for predictions)

4. **Make Predictions**:
   - **Input**: `svr_model.pkl` and a specific row from `12_Input.csv`
   - **Output**: `predictions.csv` (500 rows by 1 column of predicted values corresponding to the selected input row)

5. **Visualize Prediction Accuracy**:
   - **Input**: `predictions.csv` and the corresponding output row from `a_full.csv`
   - **Output**: `prediction_accuracy.png` (visualization of prediction accuracy using a plot)

Ensure that all output files reflect the quality and completeness of the subtasks for further evaluation.",acc,"Write a piece of SVR prediction code: to build a relationship between input and output, and save this mapping relationship to a pkl model. The known input dataset is 500 rows by 12 columns, named: 12_Input.csv, where each row represents a set of inputs, a total of five hundred input sets. The known output is 500 rows by 500 columns, named: a_full.csv, which is a 500*500 matrix, where the first row of the input corresponds to the first column of the output, and so on. Preferably, use any row of the input as the input to predict a column of values (500*1) in the output, print it, and visualize the prediction accuracy.",N,"Write a piece of SVR prediction code: to build a relationship between input and output, and save this mapping relationship to ""model.pkl"" file. The known input dataset is 500 rows by 12 columns, named: 12_Input.csv, where each row represents a set of inputs, a total of five hundred input sets. The known output is 500 rows by 500 columns, named: a_full.csv, which is a 500*500 matrix, where the first row of the input corresponds to the first column of the output, and so on. Preferably, use any row of the input as the input to predict a column of values (500*1) in the output, print it, and visualize the prediction accuracy in ""prediction_accuracy.png"".",3=human written data
12,"Use Python to perform min-max normalization on the following values:

Input Filename: `data.csv`

```csv
,District/County,Region,Community,Total Price,Unit Price,House Type,Floor,Total Area,House Structure,Inside Area,Construction Type,Orientation,Construction Structure,Decoration,Staircase Ratio,Heating Method,Elevator,Property Rights Years,s,Trading Rights,u,Form,Whether Over Five Years,Property Rights Form,Whether Have House Certificate,Average Price of Community,Community Completion Year,style,Total Buildings,Total Floors
0,Chaoyang,Dongba,Olympic Garden Phase IV,760.0,54453.0,3 rooms 1 hall 2 baths,Low floor,139.57,Flat,124.91㎡,Slab,North-South,Steel-concrete structure,Finishing,10th column no data,11th column no data,12th column no data,70 years,43766,Commodity House,40679,Common residential,Over five years,Joint ownership,House certificate photo uploaded,60708,2009,Slab/Tower combination,23,10
```

Output: Perform min-max normalization on the `Total Price` and `Unit Price` columns.

Output Format: `csv`

Output Filename: `normalized_output.csv`",data consistency,"Use Python to perform min-max normalization on the following values:\n```csv\n,District/County,Region,Community,Total Price,Unit Price,House Type,Floor,Total Area,House Structure,Inside Area,Construction Type,Orientation,Construction Structure,Decoration,Staircase Ratio,Heating Method,Elevator,Property Rights Years,s,Trading Rights,u,Form,Whether Over Five Years,Property Rights Form,Whether Have House Certificate,Average Price of Community,Community Completion Year,style,Total Buildings,Total Floors\n0,Chaoyang,Dongba,Olympic Garden Phase IV,760.0,54453.0,3 rooms 1 hall 2 baths,Low floor,139.57,Flat,124.91㎡,Slab,North-South,Steel-concrete structure,Finishing,10th column no data,11th column no data,12th column no data,70 years,43766,Commodity House,40679,Common residential,Over five years,Joint ownership,House certificate photo uploaded,60708,2009,Slab/Tower combination,23,10\n```",N,"Use Python to perform min-max normalization on the following values:

```csv
,District/County,Region,Community,Total Price,Unit Price,House Type,Floor,Total Area,House Structure,Inside Area,Construction Type,Orientation,Construction Structure,Decoration,Staircase Ratio,Heating Method,Elevator,Property Rights Years,s,Trading Rights,u,Form,Whether Over Five Years,Property Rights Form,Whether Have House Certificate,Average Price of Community,Community Completion Year,style,Total Buildings,Total Floors
0,Chaoyang,Dongba,Olympic Garden Phase IV,760.0,54453.0,3 rooms 1 hall 2 baths,Low floor,139.57,Flat,124.91㎡,Slab,North-South,Steel-concrete structure,Finishing,10th column no data,11th column no data,12th column no data,70 years,43766,Commodity House,40679,Common residential,Over five years,Joint ownership,House certificate photo uploaded,60708,2009,Slab/Tower combination,23,10
```

Save the output in file `normalized_output.csv`.",1=no dependency
13,"Complete the code writing task in Python: 

1. **Data Preparation**: Load the dataset from `data.csv`, which contains the results of a chemical analysis of wines from the same region in Italy. Each sample includes 14 attributes: Alcohol, Malic_Acid, Ash, Ash_Alcanity, Magnesium, Total_Phenols, Flavanoids, Nonflavanoid_Phenols, Proanthocyanins, Color_Intensity, Hue, OD280, Proline, and Types.  
   **Output**: Store the processed data in `processed_data.csv` (format: CSV).

2. **Visualization**: Create a stacked bar chart of the `Types` attribute versus the other attributes using the processed data from `processed_data.csv`.  
   **Output**: Save the stacked bar chart as `stacked_bar_chart.png` (format: PNG). 

Ensure that the outputs reflect the quality and integrity of each completed subtask for further evaluation.","data integrity,visualization","Complete the code writing task in Python: Create a stacked bar chart of the Types attribute versus other attributes based on the data.csv dataset. The dataset is the result of a chemical analysis of wines from the same region in Italy. Store the results in processed_data.csv. Each sample in the dataset contains 14 attributes, which are: Alcohol, Malic_Acid, Ash, Ash_Alcanity, Magnesium, Total_Phenols, Flavanoids, Nonflavanoid_Phenols, Proanthocyanins, Color_Intensity, Hue, OD280, Proline, and Types.",N,"Complete the code writing task in Python: Create a stacked bar chart of the Types attribute versus other attributes based on the data.csv dataset. The dataset is the result of a chemical analysis of wines from the same region in Italy. Store the results in processed_data.csv. Each sample in the dataset contains 14 attributes, which are: Alcohol, Malic_Acid, Ash, Ash_Alcanity, Magnesium, Total_Phenols, Flavanoids, Nonflavanoid_Phenols, Proanthocyanins, Color_Intensity, Hue, OD280, Proline, and Types. Save the stacked bar chart as `stacked_bar_chart.png`.",2=open source data
14,"Complete the following task by writing code in Python:

1. **Data Preprocessing**: Load the dataset from ""data.csv"". Clean the data and prepare it for analysis.  
   **Output**: Store the processed data in ""processed_data.csv"".

2. **Data Visualization**: Create a bar chart for the Alcohol attribute based on the ""processed_data.csv"" dataset.  
   **Output**: Save the bar chart as ""alcohol_bar_chart.png"".","data integrity,visualization","Complete the following task by writing code in Python: Create a bar chart for the Alcohol attribute based on the data.csv dataset. The dataset comes from the analysis of chemical components of wines from the same region in Italy. Store the results in processed_data.csv. Each sample in the dataset contains 14 attributes, which are: Alcohol, Malic_Acid, Ash, Ash_Alcanity, Magnesium, Total_Phenols, Flavanoids, Nonflavanoid_Phenols, Proanthocyanins, Color_Intensity, Hue, OD280, Proline, Types.",N,"Complete the following task by writing code in Python: Create a bar chart for the Alcohol attribute based on the data.csv dataset. The dataset comes from the analysis of chemical components of wines from the same region in Italy. Store the results in processed_data.csv. Each sample in the dataset contains 14 attributes, which are: Alcohol, Malic_Acid, Ash, Ash_Alcanity, Magnesium, Total_Phenols, Flavanoids, Nonflavanoid_Phenols, Proanthocyanins, Color_Intensity, Hue, OD280, Proline, Types. Save the bar chart as ""alcohol_bar_chart.png"".",2=open source data
15,"Based on the dataset 'Major Cities Monthly Prices.csv' (which contains data about urban resident consumption prices, with the x-axis representing cities including: Beijing, Tianjin, Shijiazhuang, Taiyuan, Hohhot, Shenyang, Dalian, Changchun, Harbin, Shanghai, Nanjing, Hangzhou, Ningbo, Hefei, Fuzhou, Xiamen, Nanchang, Jinan, Qingdao, Zhengzhou, Wuhan, Changsha, Guangzhou, Shenzhen, Nanning, Haikou, Chongqing, Chengdu, Guiyang, Kunming, Lhasa, Xi'an, Lanzhou, Xining, Yinchuan, and Urumqi; and the y-axis representing years from December 1, 2022, to November 1, 2023), perform the following subtasks:

1. **Plot a histogram of consumption data**:  
   - **Input**: 'Major Cities Monthly Prices.csv'  
   - **Output**: 'histogram.png'  

2. **Create a pie chart**:  
   - **Input**: 'Major Cities Monthly Prices.csv'  
   - **Output**: 'pie_chart.png'  

3. **Generate a stacked bar chart**:  
   - **Input**: 'Major Cities Monthly Prices.csv'  
   - **Output**: 'stacked_bar_chart.png'  

4. **Create a stacked bar graph**:  
   - **Input**: 'Major Cities Monthly Prices.csv'  
   - **Output**: 'stacked_bar_graph.png'  

5. **Plot a bubble chart**:  
   - **Input**: 'Major Cities Monthly Prices.csv'  
   - **Output**: 'bubble_chart.png'  

6. **Generate a radar chart**:  
   - **Input**: 'Major Cities Monthly Prices.csv'  
   - **Output**: 'radar_chart.png'  

7. **Combine the histogram, pie chart, bubble chart, and radar chart on the same canvas**:  
   - **Input**: 'histogram.png', 'pie_chart.png', 'bubble_chart.png', 'radar_chart.png'  
   - **Output**: 'combined_charts.png'  

Each output file should include appropriate auxiliary elements such as titles, legends, axis names, and scale labels to allow for further evaluation of the task completion.",visualization,"Based on the dataset 'Major Cities Monthly Prices.csv' file (data about urban resident consumption prices, with the x-axis representing cities, including: Beijing, Tianjin, Shijiazhuang, Taiyuan, Hohhot, Shenyang, Dalian, Changchun, Harbin, Shanghai, Nanjing, Hangzhou, Ningbo, Hefei, Fuzhou, Xiamen, Nanchang, Jinan, Qingdao, Zhengzhou, Wuhan, Changsha, Guangzhou, Shenzhen, Nanning, Haikou, Chongqing, Chengdu, Guiyang, Kunming, Lhasa, Xi'an, Lanzhou, Xining, Yinchuan, and Urumqi. The y-axis represents the years, ranging from December 1, 2022, to November 1, 2023), plot 6 types of charts regarding the consumption data: histogram, pie chart, stacked bar chart, stacked bar graph, bubble chart, and radar chart. Add auxiliary elements (title, legend, axis names, scale labels, etc.) and combine the histogram, pie chart, bubble chart, and radar chart on the same canvas.",N,"Based on the dataset 'Major Cities Monthly Prices.csv' file (data about urban resident consumption prices, with the x-axis representing cities, including: Beijing, Tianjin, Shijiazhuang, Taiyuan, Hohhot, Shenyang, Dalian, Changchun, Harbin, Shanghai, Nanjing, Hangzhou, Ningbo, Hefei, Fuzhou, Xiamen, Nanchang, Jinan, Qingdao, Zhengzhou, Wuhan, Changsha, Guangzhou, Shenzhen, Nanning, Haikou, Chongqing, Chengdu, Guiyang, Kunming, Lhasa, Xi'an, Lanzhou, Xining, Yinchuan, and Urumqi. The y-axis represents the years, ranging from December 1, 2022, to November 1, 2023), plot 6 types of charts regarding the consumption data: histogram(histogram.png), pie chart(pie_chart.png), stacked bar chart(stacked_bar_chart.png), stacked bar graph(stacked_bar_graph.png), bubble chart(bubble_chart.png), and radar chart(radar_chart.png). Add auxiliary elements (title, legend, axis names, scale labels, etc.) and combine the histogram, pie chart, bubble chart, and radar chart on the same canvas(combined_charts.png).",2=open source data
16,"Please complete the code for the following questions.

**First Part: Numpy Section (10 questions total)**  
1. Create a custom random array named `arr` with elements valued between 1 and 100 and a size of 80. Find all elements in `arr` that are greater than 50 and less than 100.  
   - **Output**: `filtered_elements.csv` (contains the filtered elements)

2. Calculate the sum of the natural logarithms of all elements in array `arr`.  
   - **Output**: `log_sum.txt` (contains the sum)

3. Search array `arr` for the index position of the first occurrence of the value 30, and output the index position if it exists; otherwise, output a notification.  
   - **Output**: `first_occurrence.txt` (contains the index or notification)

4. Sort array `arr` in ascending order and output the sorted array.  
   - **Output**: `sorted_array.csv` (contains the sorted array)

5. Load the data from the text file ""data.txt"" into a Numpy array and save the array as a CSV file ""output.csv"".  
   - **Input**: `data.txt`  
   - **Output**: `output.csv` (contains the loaded array)

6. Perform an intersection operation on two custom sets and output the result.  
   - **Output**: `intersection_result.csv` (contains the intersection result)

7. Vertically stack two custom arrays (concatenate them vertically).  
   - **Output**: `stacked_array.csv` (contains the vertically stacked array)

8. Provide example code for the use of logical AND (&) and logical OR (|) operators in Numpy.  
   - **Output**: `logical_operators_example.py` (contains example code)

9. Create a custom array and use the Numpy function cumsum() to calculate the cumulative sum of an array and display the result.  
   - **Output**: `cumulative_sum.csv` (contains the cumulative sum)

10. Create two custom arrays and use Numpy to compare the elements of the two arrays, returning a logical index array that indicates positions where the elements of the first array are less than those of the corresponding elements in the second array.  
    - **Output**: `comparison_result.csv` (contains the logical index array)

**Second Part: Matplotlib Section (10 questions total)**  
11. Create a simple scatter plot with custom data representing random points on a two-dimensional plane.  
    - **Output**: `scatter_plot.png` (contains the scatter plot)

12. Create a chart containing three curves, representing the sine, cosine, and tangent functions, respectively, and add a legend.  
    - **Output**: `trig_functions_plot.png` (contains the trigonometric functions plot)

13. Plot a histogram representing random data with a normal distribution.  
    - **Output**: `histogram.png` (contains the histogram)

14. Create a simple pie chart with custom data representing the proportion of different categories.  
    - **Output**: `pie_chart.png` (contains the pie chart)

15. Generate an array of 80 random integers using NumPy and then plot a bar chart representing the distribution of these integers using Matplotlib.  
    - **Output**: `bar_chart.png` (contains the bar chart)

16. Generate an array of uniformly distributed random data using NumPy and plot a box plot using Matplotlib.  
    - **Output**: `box_plot.png` (contains the box plot)

17. Generate an array containing 120 points using NumPy and then plot a simple radar chart using Matplotlib.  
    - **Output**: `radar_chart.png` (contains the radar chart)

18. Generate random data using NumPy and then plot a three-dimensional bar chart using Matplotlib.  
    - **Output**: `3d_bar_chart.png` (contains the 3D bar chart)

19. Create a chart with 2 sub-plots representing the correlation of different datasets with custom data.  
    - **Output**: `correlation_subplots.png` (contains the correlation charts)

20. Set the Matplotlib plotting style to the dark_background style.  
    - **Output**: `dark_background_plot.png` (contains a plot demonstrating the dark background style)","consistency,visualization","Please complete the code for the following questions.\nFirst Part: Numpy Section (10 questions total)\n1. Create a custom random array named `arr` with elements valued between 1 and 100 and a size of 80. Find all elements in `arr` that are greater than 50 and less than 100.\n2. Calculate the sum of the natural logarithms of all elements in array `arr`.\n3. Search array `arr` for the index position of the first occurrence of the value 30, and output the index position if it exists; otherwise, output a notification.\n4. Sort array `arr` in ascending order and output the sorted array.\n5. Load the data from the text file \""data.txt\"" into a Numpy array and save the array as a CSV file \""output.csv\"".\n6. Perform an intersection operation on two custom sets and output the result.\n7. Vertically stack two custom arrays (concatenate them vertically).\n8. Provide example code for the use of logical AND (&) and logical OR (|) operators in Numpy.\n9. Create a custom array and use the Numpy function cumsum() to calculate the cumulative sum of an array and display the result.\n10. Create two custom arrays and use Numpy to compare the elements of the two arrays, returning a logical index array that indicates positions where the elements of the first array are less than those of the corresponding elements in the second array.\nSecond Part: Matplotlib Section (10 questions total)\n11. Create a simple scatter plot with custom data representing random points on a two-dimensional plane.\n12. Create a chart containing three curves, representing the sine, cosine, and tangent functions, respectively, and add a legend.\n13. Plot a histogram representing random data with a normal distribution.\n14. Create a simple pie chart with custom data representing the proportion of different categories.\n15. Generate an array of 80 random integers using NumPy and then plot a bar chart representing the distribution of these integers using Matplotlib.\n16. Generate an array of uniformly distributed random data using NumPy and plot a box plot using Matplotlib.\n17. Generate an array containing 120 points using NumPy and then plot a simple radar chart using Matplotlib.\n18. Generate random data using NumPy and then plot a three-dimensional bar chart using Matplotlib.\n19. Create a chart with 2 sub-plots representing the correlation of different datasets with custom data.\n20. Set the Matplotlib plotting style to the dark_background style.",N,"Please complete the code for the following questions.

First Part: Numpy Section (10 questions total)  
1. Create a custom random array named `arr` with elements valued between 1 and 100 and a size of 80. Find all elements in `arr` that are greater than 50 and less than 100.  
   - Output: `filtered_elements.csv` (contains the filtered elements)

2. Calculate the sum of the natural logarithms of all elements in array `arr`.  
   - Output: `log_sum.txt` (contains the sum)

3. Search array `arr` for the index position of the first occurrence of the value 30, and output the index position if it exists; otherwise, output a notification.  
   - Output: `first_occurrence.txt` (contains the index or notification)

4. Sort array `arr` in ascending order and output the sorted array.  
   - Output: `sorted_array.csv` (contains the sorted array)

5. Load the data from the text file ""data.txt"" into a Numpy array and save the array as a CSV file ""output.csv"".  
   - Input: `data.txt`  
   - Output: `output.csv` (contains the loaded array)

6. Perform an intersection operation on two custom sets and output the result.  
   - Output: `intersection_result.csv` (contains the intersection result)

7. Vertically stack two custom arrays (concatenate them vertically).  
   - Output: `stacked_array.csv` (contains the vertically stacked array)

8. Provide example code for the use of logical AND (&) and logical OR (|) operators in Numpy.  
   - Output: `logical_operators_example.py` (contains example code)

9. Create a custom array and use the Numpy function cumsum() to calculate the cumulative sum of an array and display the result.  
   - Output: `cumulative_sum.csv` (contains the cumulative sum)

10. Create two custom arrays and use Numpy to compare the elements of the two arrays, returning a logical index array that indicates positions where the elements of the first array are less than those of the corresponding elements in the second array.  
    - Output: `comparison_result.csv` (contains the logical index array)

Second Part: Matplotlib Section (10 questions total)  
11. Create a simple scatter plot with custom data representing random points on a two-dimensional plane.  
    - Output: `scatter_plot.png` (contains the scatter plot)

12. Create a chart containing three curves, representing the sine, cosine, and tangent functions, respectively, and add a legend.  
    - Output: `trig_functions_plot.png` (contains the trigonometric functions plot)

13. Plot a histogram representing random data with a normal distribution.  
    - Output: `histogram.png` (contains the histogram)

14. Create a simple pie chart with custom data representing the proportion of different categories.  
    - Output: `pie_chart.png` (contains the pie chart)

15. Generate an array of 80 random integers using NumPy and then plot a bar chart representing the distribution of these integers using Matplotlib.  
    - Output: `bar_chart.png` (contains the bar chart)

16. Generate an array of uniformly distributed random data using NumPy and plot a box plot using Matplotlib.  
    - Output: `box_plot.png` (contains the box plot)

17. Generate an array containing 120 points using NumPy and then plot a simple radar chart using Matplotlib.  
    - Output: `radar_chart.png` (contains the radar chart)

18. Generate random data using NumPy and then plot a three-dimensional bar chart using Matplotlib.  
    - Output: `3d_bar_chart.png` (contains the 3D bar chart)

19. Create a chart with 2 sub-plots representing the correlation of different datasets with custom data.  
    - Output: `correlation_subplots.png` (contains the correlation charts)

20. Set the Matplotlib plotting style to the dark_background style.  
    - Output: `dark_background_plot.png` (contains a plot demonstrating the dark background style)",1=no dependency
17,"Build a neural network using PyTorch for data prediction. The data comes from an Excel spreadsheet named ""oil_data.xlsx"" with column names [""t"", ""temp"", ""y_oil_1"", ""y_oil_2"", ""y_oil_3""], where ""t"" and ""temp"" are inputs, and ""y_oil_1"", ""y_oil_2"", ""y_oil_3"" are outputs. The data consists of floating-point numbers with no empty values.

1. **Data Preparation**: 
   - Input: ""oil_data.xlsx""
   - Output: ""training_data.csv"" (80% of the data) and ""test_data.csv"" (20% of the data).
  
2. **Model Training**: 
   - Input: ""training_data.csv""
   - Output: ""model.pth"" (the trained model file).
  
3. **Residual Decline Graph**: 
   - Input: ""test_data.csv"" and ""model.pth""
   - Output: ""residual_decline_graph.png"" (a plot of residuals).
  
4. **Model Evaluation**: 
   - Input: ""test_data.csv"" and ""model.pth""
   - Output: ""evaluation_results.pdf"" (a report of model evaluation metrics including RMSE, MAE, and R²).","acc,visualization","Build a neural network using PyTorch for data prediction. The data comes from an Excel spreadsheet oil_data.xlsx with column names [\""t\"",\""temp\"",\""y_oil_1\"",\""y_oil_2\"",\""y_oil_3\""], where \""t\"" and \""temp\"" are inputs, and \""y_oil_1\"", \""y_oil_2\"", \""y_oil_3\"" are outputs. The data are all floating-point numbers with no empty values. The requirement is to divide the data in the table into two datasets: a training set and a test set, with the training set accounting for 80% of the data and the test set accounting for 20%. A residual decline graph should be plotted, and the model should be evaluated based on the results of the test set.",N,"Build a neural network using PyTorch for data prediction. The data comes from an Excel spreadsheet oil_data.xlsx with column names [\""t\"",\""temp\"",\""y_oil_1\"",\""y_oil_2\"",\""y_oil_3\""], where \""t\"" and \""temp\"" are inputs, and \""y_oil_1\"", \""y_oil_2\"", \""y_oil_3\"" are outputs. The data are all floating-point numbers with no empty values. The requirement is to divide the data in the table into two datasets: a training set and a test set, with the training set accounting for 80% of the data and the test set accounting for 20%. A residual decline graph should be plotted, and the model should be evaluated based on the results of the test set. The model should be saved in ""model.pth"" and the graph saved as ""residual_decline_graph.png"".",3=human written data
18,"Using the SVD (Singular Value Decomposition) method, recommend movies for a given user based on the provided movie rating matrix. The input file is `rating.csv`, which contains a user-movie rating matrix with a total of 943 users and 1682 movies in the dataset. The overall approach is to use SVD to 'compress' the movies into a lower-dimensional space, find movies that the user has not rated, compute the similarity between the unrated movies and other movies to obtain predicted ratings, and finally sort these movies by rating, recommending the top N movies to the user. 

Specific approach:

- **Part 1**: Load the test dataset and create the `loadExData` function.  
  **Input**: `rating.csv`  
  **Output**: `loaded_data.csv` (the loaded dataset in CSV format)

- **Part 2**: Define three methods for calculating similarity: `ecludSim`, `pearsSim`, and `cosSim` functions.   
  **Output**: `similarity_metrics.csv` (containing similarity scores for pairs of movies in CSV format)

- **Part 3**: Process the matrix dimensionality reduction by creating the `svd_item` function.  
  **Output**: `reduced_matrix.csv` (the dimensionality-reduced movie matrix in CSV format)

- **Part 4**: Predict the rating for a movie that the user has not scored by creating the `svd_predict` function.  
  **Input**: `reduced_matrix.csv`  
  **Output**: `predicted_ratings.csv` (containing predicted ratings for unrated movies in CSV format)

- **Part 5**: Generate the top N movies with high ratings, returning the movie numbers and predicted rating values by creating the `recommend` function.  
  **Input**: `predicted_ratings.csv`  
  **Output**: `top_n_movies.csv` (top N recommended movies with their predicted ratings in CSV format)

- **Part 6**: Recommend movies for a specified user by creating the `recommend_predict` function.  
  **Input**: `top_n_movies.csv`  
  **Output**: `final_recommendations.csv` (final movie recommendations for the specified user in CSV format)

- **Part 7**: Call the `recommend_predict` function to obtain the results.  
  **Output**: `results_summary.pdf` (a PDF summarizing the recommendations)","consistency,distance,acc","Using the SVD (Singular Value Decomposition) method, recommend movies for a given user based on the provided movie rating matrix. \nThe data file `rating.csv` is a user-movie rating matrix, with a total of 943 users and 1682 movies in the dataset. \nThe overall approach is to use SVD to 'compress' the movies into a lower-dimensional space, find movies that the user has not rated, then calculate the similarity between the unrated movies and other movies to obtain a predicted rating, and finally sort these movies by rating from highest to lowest, recommending the top N movies to the user. \nSpecific approach:\nPart 1: Load the test dataset and create the loadExData function.\nPart 2: Define three methods for calculating similarity, creating the ecludSim function, pearsSim function, and cosSim function.\nPart 3: Process the matrix dimensionality reduction, creating the svd_item function.\nPart 4: In the already dimensionality-reduced data, predict the rating for a movie that the user has not scored, creating the svd_predict function.\nPart 5: Generate the top N movies with high ratings, returning the movie numbers and predicted rating values, creating the recommend function.\nPart 6: Recommend movies for a specified user, creating the recommend_predict function.\nPart 7: Call the recommend_predict function to obtain the results.",N,"Using the SVD (Singular Value Decomposition) method, recommend movies for a given user based on the provided movie rating matrix. The input file is `rating.csv`, which contains a user-movie rating matrix with a total of 943 users and 1682 movies in the dataset. The overall approach is to use SVD to 'compress' the movies into a lower-dimensional space, find movies that the user has not rated, compute the similarity between the unrated movies and other movies to obtain predicted ratings, and finally sort these movies by rating, recommending the top N movies to the user. 

Specific approach:

- Part 1: Load the test dataset and create the `loadExData` function.  
  Input: `rating.csv`  
  Output: `loaded_data.csv` (the loaded dataset in CSV format)

- Part 2: Define three methods for calculating similarity: `ecludSim`, `pearsSim`, and `cosSim` functions.   
  Output: `similarity_metrics.csv` (containing similarity scores for pairs of movies in CSV format)

- Part 3: Process the matrix dimensionality reduction by creating the `svd_item` function.  
  Output: `reduced_matrix.csv` (the dimensionality-reduced movie matrix in CSV format)

- Part 4: Predict the rating for a movie that the user has not scored by creating the `svd_predict` function.  
  Input: `reduced_matrix.csv`  
  Output: `predicted_ratings.csv` (containing predicted ratings for unrated movies in CSV format)

- Part 5: Generate the top N movies with high ratings, returning the movie numbers and predicted rating values by creating the `recommend` function.  
  Input: `predicted_ratings.csv`  
  Output: `top_n_movies.csv` (top N recommended movies with their predicted ratings in CSV format)

- Part 6: Recommend movies for a specified user by creating the `recommend_predict` function.  
  Input: `top_n_movies.csv`  
  Output: `final_recommendations.csv` (final movie recommendations for the specified user in CSV format)

- Part 7: Call the `recommend_predict` function to obtain the results.  
  Output: `results_summary.pdf` (a PDF summarizing the recommendations)",3=human written data
19,"Please solve a discrete optimization problem using Python. The problem description is as follows:
1. Assign 1008 numbers to 2067 points, with the point numbers obtained by reading the first column of an Excel spreadsheet named ""points.xlsx"".
   - **Input File:** ""points.xlsx"" (contains point numbers in the first column)
   - **Output Format:** None (this step is for internal processing)

2. For each pair of points A and B that share the same assigned number, retrieve the value k from another Excel spreadsheet named ""values.xlsx"", where:
   - **Input File:** ""values.xlsx"" (1st column: A, 2nd column: B, 3rd column: k)
   - **Output Format:** ""k_values.csv"" (CSV file containing columns: A, B, k)

3. Additionally, if the remainder of A and B divided by 3 is the same, retrieve the value b from the same ""values.xlsx"" file (assuming it is provided, otherwise define a default method to calculate b).
   - **Output Format:** ""b_values.csv"" (CSV file containing columns: A, B, b)

4. The program you write should minimize the sum of k and b for all pairs (A, B).
   - **Output Format:** ""results.txt"" (a text file containing the final minimized value) 

Ensure to include proper error handling and validation for input files.","consistency,acc","Please solve a discrete optimization problem using Python. The problem description is as follows: Assign 1008 numbers to 2067 points, with the point numbers obtained by reading the first column of an Excel spreadsheet. If any two points A and B have the same assigned number, a value k may be obtained, which is found by looking up in another Excel spreadsheet where the first and second columns have A and B, and the third column contains the value k. Additionally, if the remainder of A and B divided by 3 is the same, there is also a value b.
The program you write should minimize the sum of k and b, and at the end, return this value and save it in the results.txt file.",N,"Please solve a discrete optimization problem using Python. The problem description is as follows:
1. Assign 1008 numbers to 2067 points, with the point numbers obtained by reading the first column of an Excel spreadsheet named ""points.xlsx"".
   - Input File: ""points.xlsx"" (contains point numbers in the first column)

2. For each pair of points A and B that share the same assigned number, retrieve the value k from another Excel spreadsheet named ""values.xlsx"", where:
   - Input File: ""k_values.xlsx"" (1st column: A, 2nd column: B, 3rd column: k)

3. Additionally, if the remainder of A and B divided by 3 is the same, retrieve the value b from ""b_values.xlsx"" file.
   - Input Format: ""b_values.csv"" (CSV file containing columns: A, B, b)

4. The program you write should minimize the sum of k and b for all pairs (A, B).
   - Output Format: ""results.txt"" (a text file containing the final minimized value) 

Ensure to include proper error handling and validation for input files.",3=human written data
